"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-01",,"55",,"39"
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-02",,"62",,"47"
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-03","0.08","58","74",
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-04","0.55","58","68","50"
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-05","0.00","58",,
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-06",,"60",,"50"
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-07",,"60","74",
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-08","0.12","57","72",
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-09","0.20","56",,
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-10","0.00","49","65",
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-11",,"51","65","41"
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-12",,"53",,
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-13",,"52","68","43"
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-14",,"60",,"49"
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-15",,"59","71","53"
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-16","1.54","58","63","57"
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-17","1.38","58",,
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-18","0.00","57","62","53"
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-19","0.00","56",,
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-20",,"53","65",
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-21",,"52",,
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-22",,"55",,
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-23",,"56","70",
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-24",,"55","71",
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-25",,"57","70","45"
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-26",,"55","72","46"
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-27",,"60",,"45"
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-28",,"63","77","53"
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-29",,"62","74",
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-30",,"59","76",
"IN023351400","LUCKNOW AMAUSI, IN","2020-01-31",,"57","74",
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-01",,"58","71",
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-02",,"57","72",
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-03",,"56","71",
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-04",,"59",,
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-05",,"59",,"47"
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-06",,"59","74","46"
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-07",,"60","74",
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-08",,"58","74","46"
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-09",,"60",,"47"
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-10",,"60","76",
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-11",,"59","76",
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-12",,"61",,"47"
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-13",,"65",,
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-14",,"65","80",
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-15",,"63","81","49"
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-16",,"65",,"50"
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-17",,"66","81",
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-18",,"64",,
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-19",,"68",,
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-20",,"70","83","58"
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-21","0.28","65","83",
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-22","0.00","67",,"57"
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-23",,"70",,"62"
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-24",,"68","82",
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-25",,"64","83",
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-26",,"66",,"55"
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-27",,"67","78",
"IN023351400","LUCKNOW AMAUSI, IN","2020-02-28",,"68",,"58"
